State,Pollster,Start.date,End.date,Entry Date Time,Mode,Biden,Trump,Biden_Margin
MN,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,50,44,6
MI,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,51,44,7
GA,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,47,49,-2
FL,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,51,46,5
CO,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,54,40,14
AZ,Morning Consult,10/2/2020,10/11/2020,10/13/2020 8:38,Online,49,46,3
FL,Florida Atlantic University,10/9/2020,10/10/2020,10/13/2020 8:38,IVR/Online,51,47,4
WA,SurveyUSA,10/8/2020,10/12/2020,10/12/2020 23:30,Online,55,34,21
PA,Ipsos,10/6/2020,10/11/2020,10/12/2020 19:30,Online,51,44,7
WI,Ipsos,10/6/2020,10/11/2020,10/12/2020 19:30,Online,51,44,7
--,YouGov,10/9/2020,10/11/2020,10/12/2020 19:30,Online,51,43,8
--,RMG Research,10/8/2020,10/10/2020,10/12/2020 14:45,Online,51,43,8
WI,NYT/Siena College,10/8/2020,10/11/2020,10/12/2020 14:00,Live Phone,51,41,10
MI,NYT/Siena College,10/6/2020,10/11/2020,10/12/2020 14:00,Live Phone,48,40,8
PA,Whitman Insight Strategies,10/5/2020,10/9/2020,10/12/2020 14:00,Live Phone,51,46,5
MT,Public Policy Polling,10/9/2020,10/1/2020,10/12/2020 9:00,IVR,48,52,-4
--,IBD/TIPP,10/7/2020,10/11/2020,10/12/2020 9:00,Live Phone/Online,52,43,9
--,USC Dornsife,9/29/2020,10/11/2020,10/12/2020 9:00,Online,54,41,13
IA,YouGov,10/6/2020,10/9/2020,10/11/2020 12:00,Online,49,49,0
NV,YouGov,10/6/2020,10/9/2020,10/11/2020 12:00,Online,52,46,6
MI,YouGov,10/6/2020,10/9/2020,10/11/2020 12:00,Online,52,46,6
WI,Baldwin Wallace University,9/30/2020,108/2020,10/11/2020 9:00,Online,49,43,6
PA,Baldwin Wallace University,9/30/2020,108/2020,10/11/2020 9:00,Online,50,45,5
OH,Baldwin Wallace University,9/30/2020,108/2020,10/11/2020 9:00,Online,45,47,-2
MI,Baldwin Wallace University,9/30/2020,108/2020,10/11/2020 9:00,Online,50,43,7
GA,Public Policy Polling,10/8/2020,10/9/2020,10/11/2020 9:00,IVR,47,46,1
GA,Landmark Communications,10/7/2020,10/7/2020,10/11/2020 9:00,Live Phone,47,49,-2
--,ABC News/Washington Post,10/6/2020,10/9/2020,10/11/2020 9:00,Live Phone,54,42,12
NJ,Fairleigh Dickinson University,9/30/2020,10/5/2020,10/9/2020 15:08,Online,53,38,15
WI,Redfield & Wilton Strategies,10/4/2020,10/6/2020,10/9/2020 15:08,Online,51,41,10
AZ,Redfield & Wilton Strategies,10/4/2020,10/6/2020,10/9/2020 15:08,Online,49,43,6
MI,Redfield & Wilton Strategies,10/4/2020,10/6/2020,10/9/2020 15:08,Online,50,42,8
PA,Redfield & Wilton Strategies,10/4/2020,10/6/2020,10/9/2020 15:08,Online,49,42,7
FL,Redfield & Wilton Strategies,10/4/2020,10/6/2020,10/9/2020 15:08,Online,49,44,5
NC,Redfield & Wilton Strategies,10/4/2020,10/6/2020,10/9/2020 15:08,Online,49,44,5
AZ,Trafalgar Group,10/6/2020,10/8/2020,10/9/2020 12:08,IVR,44,48,-4
--,Ipsos,10/6/2020,10/8/2020,10/9/2020 12:08,Online,53,41,12
--,Global Strategy Group,10/2/2020,10/5/2020,10/9/2020 10:08,Online,52,44,8
GA,University of Georgia,9/27/2020,10/6/2020,10/9/2020 8:08,Live Phone,46,48,-2
--,Pew Research Center,9/30/2020,10/5/2020,10/9/2020 8:08,Online,52,42,10
TX,YouGov,9/25/2020,10/4/2020,10/9/2020 8:08,Online,45,50,-5
NH,Saint Anselm College,10/1/2020,10/4/2020,10/8/2020 16:32,Online,53,41,12
TX,Public Policy Polling,10/7/2020,10/8/2020,10/8/2020 16:32,IVR,50,49,1
--,Data for Progress,10/6/2020,10/6/2020,10/8/2020 10:32,Online,56,41,15
MD,Goucher College,9/30/2020,10/4/2020,10/8/2020 10:32,Live Phone,61,30,31
SC,GBAO,9/24/2020,9/28/2020,10/8/2020 10:32,Live Phone,44,49,-5
FL,Saint Leo University,9/27/2020,10/2/2020,10/7/2020 20:10,Online,50,44,6
--,Saint Leo University,9/27/2020,10/2/2020,10/7/2020 20:10,Online,52,38,14
TX,Data for Progress,9/30/2020,10/5/2020,10/7/2020 20:10,Online,47,45,2
NC,Data for Progress,9/30/2020,10/5/2020,10/7/2020 20:10,Online,51,44,7
MT,Data for Progress,9/30/2020,10/5/2020,10/7/2020 20:10,Online,43,49,-6
MN,SurveyUSA,10/1/2020,10/6/2020,10/7/2020 20:10,Online,47,40,7
--,Fox News/Beacon Research/Shaw & Co. Research,10/3/2020,10/6/2020,10/7/2020 20:10,Live Phone,53,43,10
AZ,Ipsos,9/29/2020,10/7/2020,10/7/2020 14:52,Online,48,46,2
FL,Ipsos,9/29/2020,10/7/2020,10/7/2020 14:52,Online,49,45,4
FL,Quinnipiac University,10/1/2020,10/5/2020,10/7/2020 14:18,Live Phone,51,40,11
PA,Quinnipiac University,10/1/2020,10/5/2020,10/7/2020 14:18,Live Phone,54,41,13
IA,Quinnipiac University,10/1/2020,10/5/2020,10/7/2020 14:18,Live Phone,50,45,5
WI,Marquette University Law School,9/30/2020,10/4/2020,10/7/2020 13:18,Live Phone,46,41,5
NV,NYT/Siena College,10/2/2020,10/6/2020,10/7/2020 13:18,Live Phone,48,42,6
OH,NYT/Siena College,10/2/2020,10/6/2020,10/7/2020 13:18,Live Phone,45,44,1
AZ,Data Orbital,10/3/2020,10/5/2020,10/7/2020 12:50,Live Phone,48,43,5
MO,Garin-Hart-Yang Research Group,9/28/2020,10/2/2020,10/7/2020 11:06,Live Phone,48,50,-2
TX,Civiqs,10/3/2020,10/6/2020,10/7/2020 8:55,Online,48,48,0
IA,Civiqs,10/3/2020,10/6/2020,10/7/2020 8:55,Online,48,47,1
MD,Change Research,9/29/2020,10/1/2020,10/7/2020 8:55,Online,61,32,29
WV,Triton Poling & Research,9/29/2020,9/30/2020,10/7/2020 8:55,Online,38,56,-18
--,YouGov,10/4/2020,10/6/2020,10/7/2020 8:55,Online,51,42,9
--,Franklin Pierce University,9/30/2020,10/4/2020,10/6/2020 16:38,Live Phone/Online,51,37,14
AK,Alaska Survey Research,9/25/2020,10/4/2020,10/6/2020 16:38,Live Phone,46,50,-4
--,Ipsos,10/2/2020,10/6/2020,10/6/2020 16:38,Online,52,40,12
NC,Ipsos,9/29/2020,10/6/2020,10/6/2020 15:38,Online,47,47,0
MI,Ipsos,9/29/2020,10/6/2020,10/6/2020 15:38,Online,51,43,8
PA,Ipsos,9/29/2020,10/5/2020,10/6/2020 15:38,Online,50,45,5
WI,Ipsos,9/29/2020,10/5/2020,10/6/2020 15:38,Online,50,44,6
ME,Critical Insights,9/25/2020,10/4/2020,10/6/2020 15:38,Live Phone,51,40,11
NC,East Carolina University,10/2/2020,10/4/2020,10/6/2020 15:38,Online,50,47,3
WI,Change Research,10/2/2020,10/4/2020,10/6/2020 13:38,Online,51,44,7
PA,Change Research,10/2/2020,10/4/2020,10/6/2020 13:38,Online,50,46,4
NC,Change Research,10/2/2020,10/4/2020,10/6/2020 13:38,Online,49,47,2
MI,Change Research,10/2/2020,10/4/2020,10/6/2020 13:38,Online,51,43,8
FL,Change Research,10/2/2020,10/4/2020,10/6/2020 13:38,Online,50,46,4
AZ,Change Research,10/2/2020,10/4/2020,10/6/2020 13:38,Online,51,45,6
--,SurveyUSA,10/1/2020,10/4/2020,10/6/2020 13:38,Online,53,43,10
--,Redfield & Wilton Strategies,10/3/2020,10/4/2020,10/6/2020 13:38,Online,50,42,8
PA,Monmouth University,9/30/2020,10/4/2020,10/6/2020 11:01,Live Phone,54,44,10
FL,University of North Florida,10/1/2020,10/4/2020,10/6/2020 8:01,Live Phone,51,45,6
FL,Suffolk University,10/1/2020,10/4/2020,10/6/2020 8:01,Live Phone,45,45,0
NM,Public Policy Polling,9/30/2020,10/1/2020,10/6/2020 8:01,IVR,53,39,14
AZ,Strategies 360,9/24/2020,9/29/2020,10/6/2020 8:01,Live Phone/Online,49,45,4
--,SSRS,10/1/2020,10/4/2020,10/6/2020 8:01,Live Phone,57,41,16
UT,Y2 Analytics,9/26/2020,10/4/2020,10/5/2020 14:01,Online,40,50,-10
NC,Public Policy Polling,10/4/2020,10/5/2020,10/5/2020 14:01,IVR,50,46,4
--,Morning Consult,10/2/2020,10/3/2020,10/5/2020 13:01,Online,52,43,9
OH,Trafalgar Group,10/1/2020,10/3/2020,10/5/2020 13:01,IVR,44,48,-4
AZ,NYT/Siena College,10/1/2020,10/3/2020,10/5/2020 13:01,Live Phone,49,41,8
DE,University of Delaware,9/21/2020,9/27/2020,10/5/2020 13:01,Live Phone,54,33,21
--,Pollfish,9/8/2020,9/10/2020,10/5/2020 13:01,Online,53,45,8
--,USC Dornsife,9/21/2020,10/4/2020,10/5/2020 8:42,Online,53,42,11
--,YouGov,10/2/2020,10/3/2020,10/4/2020 15:12,Online,51,43,8
--,YouGov,10/1/2020,10/2/2020,10/4/2020 15:12,Online,48,40,8
OH,YouGov,9/30/2020,10/2/2020,10/4/2020 10:49,Online,47,47,0
PA,YouGov,9/30/2020,10/2/2020,10/4/2020 10:49,Online,51,44,7
--,NBC News/Wall Street Journal,9/30/2020,10/1/2020,10/4/2020 9:18,Live Phone,53,39,14
--,Ipsos,10/2/2020,10/3/2020,10/4/2020 9:18,Online,51,41,10
PA,NYT/Siena College,9/30/2020,10/1/2020,10/3/2020 12:12,Live Phone,49,42,7
FL,NYT/Siena College,9/30/2020,10/1/2020,10/3/2020 12:12,Live Phone,47,42,5
MO,Remington Research Group,9/30/2020,10/1/2020,10/3/2020 12:12,Online,46,51,-5
--,Ipsos,9/29/2020,10/1/2020,10/2/2020 16:39,Online,50,41,9
--,Data for Progress,9/30/2020,10/1/2020,10/2/2020 16:39,Online,51,41,10
TX,Hart Research Associates,9/24/2020,9/27/2020,10/2/2020 16:39,Live Phone,47,49,-2
OH,Hart Research Associates,9/24/2020,9/27/2020,10/2/2020 16:39,Live Phone,47,49,-2
NC,Hart Research Associates,9/24/2020,9/27/2020,10/2/2020 16:39,Live Phone,49,47,2
IA,Hart Research Associates,9/24/2020,9/27/2020,10/2/2020 16:39,Live Phone,47,49,-2
GA,Hart Research Associates,9/24/2020,9/27/2020,10/2/2020 16:39,Live Phone,50,47,3
--,IBD/TIPP,9/30/2020,10/1/2020,10/2/2020 13:39,Online,49,46,3
MI,Public Policy Polling,9/30/2020,10/1/2020,10/2/2020 13:39,IVR,50,44,6
WI,Redfield & Wilton Strategies,9/23/2020,9/25/2020,10/2/2020 13:39,Online,48,43,5
MI,Redfield & Wilton Strategies,9/23/2020,9/25/2020,10/2/2020 13:39,Online,51,42,9
NC,Redfield & Wilton Strategies,9/23/2020,9/25/2020,10/2/2020 13:39,Online,47,45,2
AZ,Redfield & Wilton Strategies,9/23/2020,9/25/2020,10/2/2020 13:39,Online,47,44,3
PA,Redfield & Wilton Strategies,9/23/2020,9/25/2020,10/2/2020 13:39,Online,50,44,6
FL,Redfield & Wilton Strategies,9/23/2020,9/25/2020,10/2/2020 13:39,Online,48,43,5
AZ,Suffolk University,9/26/2020,9/30/2020,10/2/2020 13:39,Live Phone,50,46,4
NY,Siena College,9/27/2020,9/29/2020,10/2/2020 13:39,Live Phone,51,29,22
--,Global Strategy Group,9/26/2020,9/28/2020,10/2/2020 13:39,Online,53,43,10
--,YouGov,9/14/2020,9/22/2020,10/1/2020 20:28,Online,53,42,11
GA,Landmark Communications,9/30/2020,9/30/2020,10/1/2020 20:28,Live Phone,47,45,2
--,Change Research,9/29/2020,9/30/2020,10/1/2020 14:03,Online,54,41,13
NC,ALG Research,9/22/2020,9/28/2020,10/1/2020 14:03,Live Phone,50,47,3
SC,Data for Progress,9/24/2020,9/28/2020,10/1/2020 11:09,Online,43,47,-4
ME,Data for Progress,9/24/2020,9/28/2020,10/1/2020 11:09,Online,53,39,14
IA,Data for Progress,9/24/2020,9/28/2020,10/1/2020 11:09,Online,44,47,-3
AZ,Data for Progress,9/24/2020,9/28/2020,10/1/2020 11:09,Online,49,45,4
PA,ALG Research,8/26/2020,9/1/2020,10/1/2020 11:09,Live Phone,50,44,6
OH,ALG Research,8/26/2020,9/1/2020,10/1/2020 11:09,Live Phone,48,46,2
OR,Civiqs,9/26/2020,9/29/2020,9/30/2020 19:30,Online,56,39,17
--,Ipsos,9/25/2020,9/29/2020,9/30/2020 18:30,Online,51,42,9
IA,RABA Research,9/23/2020,9/26/2020,9/30/2020 17:52,Live Phone,48,46,2
KS,Civiqs,9/26/2020,9/29/2020,9/30/2020 17:28,Online,42,52,-10
SC,Quinnipiac University,9/23/2020,9/27/2020,9/30/2020 14:12,Online,47,48,-1
--,YouGov,9/27/2020,9/30/2020,9/30/2020 14:12,Online,50,42,8
--,NORC,7/31/2020,8/11/2020,9/30/2020 13:30,Live Phone,48,37,11
CA,SurveyUSA,9/26/2020,9/28/2020,9/30/2020 13:30,Online,59,32,27
NH,University of New Hampshire,9/24/2020,9/26/2020,9/30/2020 13:30,Live Phone,53,44,9
--,Redfield & Wilton Strategies,9/26/2020,9/27/2020,9/29/2020 21:02,Online,50,40,10
GA,Civiqs,9/26/2020,9/29/2020,9/29/2020 15:55,Online,50,47,3
ND,DFM Research,9/12/2020,9/16/2020,9/29/2020 14:10,Live Phone,37,56,-19
TX,YouGov,9/18/2020,9/25/2020,9/29/2020 14:10,Online,46,49,-3
NC,YouGov,9/18/2020,9/25/2020,9/29/2020 14:10,Online,47,47,0
NH,YouGov,9/18/2020,9/25/2020,9/29/2020 14:10,Online,52,44,8
GA,Quinnipiac University,9/23/2020,9/27/2020,9/29/2020 14:10,Live Phone,50,47,3
--,Morning Consult,9/25/2020,9/27/2020,9/29/2020 11:36,Online,51,44,7
--,J.L. Partners,9/14/2020,9/23/2020,9/29/2020 8:55,Online,51,41,10
PA,ABC News/Washington Post,9/21/2020,9/26/2020,9/29/2020 0:02,Live Phone,54,45,9
AK,Harstad Strategic Research Inc.,9/20/2020,9/23/2020,9/28/2020 17:26,Live Phone,46,47,-1
PA,NYT/Siena College,9/25/2020,9/27/2020,9/28/2020 17:26,Live Phone,49,40,9
WI,Trafalgar Group,9/22/2020,9/25/2020,9/28/2020 16:49,IVR,48,45,3
--,Monmouth University,9/24/2020,9/27/2020,9/28/2020 14:13,Live Phone,50,45,5
NC,Meredith College,9/18/2020,9/22/2020,9/28/2020 13:04,Online,46,45,1
TX,Public Policy Polling,9/25/2020,9/26/2020,9/28/2020 11:24,IVR,48,48,0
--,Echelon Insights,9/19/2020,9/25/2020,9/28/2020 11:24,Live Phone,50,41,9
NV,"University of Nevada, Las Vegas Lee Business School ",9/10/2020,9/25/2020,9/28/2020 11:24,Online,46,41,5
CA,Redfield & Wilton Strategies,9/19/2020,9/21/2020,9/27/2020 18:25,Online,62,28,34
--,USC Dornsife,9/13/2020,9/26/2020,9/27/2020 16:40,Online,51,42,9
SC,YouGov,9/22/2020,9/25/2020,9/27/2020 16:40,Online,42,52,-10
NC,YouGov,9/22/2020,9/25/2020,9/27/2020 16:40,Online,48,46,2
GA,YouGov,9/22/2020,9/25/2020,9/27/2020 16:40,Online,46,47,-1
--,NYT/Siena College,9/22/2020,9/24/2020,9/27/2020 16:40,Live Phone,49,41,8
--,ABC News/Washington Post,9/21/2020,9/24/2020,9/27/2020 16:40,Live Phone,49,43,6
WI,Marist College,9/20/2020,9/24/2020,9/27/2020 16:40,Live Phone,54,44,10
MI,Marist College,9/19/2020,9/23/2020,9/27/2020 16:40,Live Phone,52,44,8
MN,Mason-Dixon Polling & Strategy,9/21/2020,9/23/2020,9/26/2020 15:18,Live Phone,48,42,6
--,Ipsos,9/22/2020,9/24/2020,9/25/2020 18:22,Online,50,41,9
--,Ipsos,9/18/2020,9/22/2020,9/25/2020 18:22,Online,50,42,8
WI,Hart Research Associates,9/17/2020,9/19/2020,9/25/2020 18:22,Live Phone,51,44,7
PA,Hart Research Associates,9/17/2020,9/19/2020,9/25/2020 18:22,Live Phone,53,42,11
MI,Hart Research Associates,9/17/2020,9/19/2020,9/25/2020 18:22,Live Phone,50,45,5
FL,Hart Research Associates,9/17/2020,9/19/2020,9/25/2020 18:22,Live Phone,51,45,6
AZ,Hart Research Associates,9/17/2020,9/19/2020,9/25/2020 18:22,Live Phone,53,42,11
--,Redfield & Wilton Strategies,9/22/2020,9/23/2020,9/25/2020 18:22,Online,50,41,9
NV,ALG Research,9/15/2020,9/21/2020,9/25/2020 13:19,Live Phone,47,43,4
CA,"University of California, Berkeley",9/5/2020,9/15/2020,9/25/2020 13:19,Online,67,28,39
MD,OpinionWorks,9/4/2020,9/11/2020,9/25/2020 13:19,Online,62,30,32
TX,Data for Progress,9/15/2020,9/22/2020,9/25/2020 13:19,Online,45,46,-1
FL,Data for Progress,9/15/2020,9/22/2020,9/25/2020 13:19,Online,46,43,3
AZ,Data for Progress,9/15/2020,9/22/2020,9/25/2020 13:19,Online,45,46,-1
PA,Trafalgar Group,9/18/2020,9/21/2020,9/25/2020 13:19,IVR,48,46,2
ME,Colby College,9/17/2020,9/23/2020,9/25/2020 13:19,Live Phone,50,39,11
MN,Suffolk University,9/20/2020,9/24/2020,9/25/2020 13:19,Live Phone,47,40,7
PA,Fox News/Beacon Research/Shaw & Co. Research,9/20/2020,9/23/2020,9/24/2020 19:18,Live Phone,51,44,7
OH,Fox News/Beacon Research/Shaw & Co. Research,9/20/2020,9/23/2020,9/24/2020 19:18,Live Phone,50,45,5
NV,Fox News/Beacon Research/Shaw & Co. Research,9/20/2020,9/23/2020,9/24/2020 19:18,Live Phone,52,41,11
--,YouGov,9/21/2020,9/23/2020,9/24/2020 14:18,Live Phone,49,44,5
TX,Quinnipiac University,9/17/2020,9/21/2020,9/24/2020 14:18,Live Phone,45,50,-5
OH,Quinnipiac University,9/17/2020,9/21/2020,9/24/2020 14:18,Live Phone,48,47,1
MI,Data for Progress,9/14/2020,9/19/2020,9/24/2020 13:57,Online,50,44,6
KY,Data for Progress,9/14/2020,9/19/2020,9/24/2020 13:57,Online,38,56,-18
KS,Data for Progress,9/14/2020,9/19/2020,9/24/2020 13:57,Online,45,49,-4
GA,Data for Progress,9/14/2020,9/19/2020,9/24/2020 13:57,Online,46,46,0
AZ,Data Orbital,9/14/2020,9/17/2020,9/24/2020 13:57,Live Phone,49,47,2
MI,Trafalgar Group,9/20/2020,9/22/2020,9/24/2020 12:03,IVR,46,47,-1
IA,Monmouth University,9/18/2020,9/22/2020,9/24/2020 12:03,Live Phone,46,49,-3
VA,Christopher Newport University,9/9/2020,9/21/2020,9/24/2020 8:55,Live Phone,48,43,5
--,Global Strategy Group,9/17/2020,9/21/2020,9/24/2020 8:55,Online,53,42,11
WI,YouGov,9/10/2020,9/21/2020,9/24/2020 8:55,Online,50,46,4
PA,YouGov,9/10/2020,9/21/2020,9/24/2020 8:55,Online,49,45,4
MI,YouGov,9/10/2020,9/21/2020,9/24/2020 8:55,Online,51,45,6
TX,NYT/Siena College,9/16/2020,9/22/2020,9/24/2020 8:55,Live Phone,43,46,-3
